chart_id,slug,title,url,has_map_tab,max_time,min_time,default_tab,is_published,entity_type,single_year_data,len_years,has_timeline
114,airliner-hijackings-and-fatalities-from-them,Airliner hijackings and deaths in them,https://ourworldindata.org/grapher/airliner-hijackings-and-fatalities-from-them,No,2021,1942,,True,,No,80,Yes
115,intercontinental-trade-per-capita-1500-1800,Historical intercontinental trade per capita,https://ourworldindata.org/grapher/intercontinental-trade-per-capita-1500-1800,No,1800,1500,,True,,No,5,Yes
126,life-expectancy-at-age-15,Life expectancy at age 15,https://ourworldindata.org/grapher/life-expectancy-at-age-15?tab=map,Yes,2100,1751,map,True,,No,350,Yes
128,differences-in-life-expectancy-are-more-regional-than-national,Life expectancy by world region,https://ourworldindata.org/grapher/differences-in-life-expectancy-are-more-regional-than-national,No,2023,1543,,False,,No,315,Yes
133,share-of-the-population-with-access-to-improved-drinking-water,Share of the population using at least basic water services,https://ourworldindata.org/grapher/share-of-the-population-with-access-to-improved-drinking-water?tab=map,Yes,2024,2000,map,False,,No,25,Yes
134,trade-as-share-of-gdp,Trade as a share of GDP,https://ourworldindata.org/grapher/trade-as-share-of-gdp?tab=map,Yes,2024,1960,map,True,,No,65,Yes
136,foreign-direct-investment-net-inflows-as-share-of-gdp,"Foreign direct investment, net inflows as share of GDP",https://ourworldindata.org/grapher/foreign-direct-investment-net-inflows-as-share-of-gdp?tab=map,Yes,2024,1970,map,True,,No,55,Yes
144,press-freedom-fh,Press freedom,https://ourworldindata.org/grapher/press-freedom-fh?tab=map,Yes,2016,1979,map,True,,No,36,Yes
150,disease-burden-to-communicable-diseases-vs-gdp,Disease burden due to communicable diseases vs. GDP per capita,https://ourworldindata.org/grapher/disease-burden-to-communicable-diseases-vs-gdp,No,2021,1990,,True,,No,32,Yes
160,incidence-of-child-labour,Share of children in employment,https://ourworldindata.org/grapher/incidence-of-child-labour?tab=map,Yes,2016,1994,,True,,No,21,Yes
161,poverty-and-child-mortality-draft,Extreme poverty and child mortality,https://ourworldindata.org/grapher/poverty-and-child-mortality-draft,No,2023,1932,,False,,No,92,Yes
164,share-of-working-children-who-work-only,Share of working children who do not attend school,https://ourworldindata.org/grapher/share-of-working-children-who-work-only?tab=map,Yes,2016,1994,,True,,No,21,Yes
166,incidence-of-child-labor-in-the-uk,Child labor,https://ourworldindata.org/grapher/incidence-of-child-labor-in-the-uk,No,1911,1851,,False,,No,7,Yes
171,global-incidence-of-child-labor-2,Global incidence of child labor,https://ourworldindata.org/grapher/global-incidence-of-child-labor-2,No,2012,2000,,False,,No,4,Yes
175,incidence-of-child-labor-in-italy,Child labor in Italy,https://ourworldindata.org/grapher/incidence-of-child-labor-in-italy,No,1961,1881,,False,,No,8,Yes
176,global-incidence-of-child-labour,Global share of children aged 10-14 in the labor force,https://ourworldindata.org/grapher/global-incidence-of-child-labour,No,1995,1950,,False,,No,6,Yes
177,incidence-of-child-labour-boys-vs-girls,"Share of children in employment, boys vs. girls",https://ourworldindata.org/grapher/incidence-of-child-labour-boys-vs-girls,No,2023,0,,True,,No,255,Yes
178,per-capita-total-expenditure-on-health-vs-child-mortality,Child mortality vs. per capita health spending,https://ourworldindata.org/grapher/per-capita-total-expenditure-on-health-vs-child-mortality,No,2023,0,,False,,No,255,Yes
179,incidence-of-child-labour-vs-gdp-per-capita,Share of children in employment vs. GDP per capita,https://ourworldindata.org/grapher/incidence-of-child-labour-vs-gdp-per-capita,No,2024,1950,,True,,No,75,Yes
185,the-share-of-people-living-in-extreme-poverty-vs-gdp-per-capita,Share of population living in extreme poverty vs. GDP per capita,https://ourworldindata.org/grapher/the-share-of-people-living-in-extreme-poverty-vs-gdp-per-capita,No,2025,0,,True,,No,257,Yes
189,gdp-per-capita-penn-world-table,GDP per capita,https://ourworldindata.org/grapher/gdp-per-capita-penn-world-table?tab=map,Yes,2023,1950,map,True,,No,74,Yes
190,the-price-for-lighting-per-million-lumen-hours-in-the-uk-in-british-pound,The price for lighting in the United Kingdom,https://ourworldindata.org/grapher/the-price-for-lighting-per-million-lumen-hours-in-the-uk-in-british-pound,No,2006,1301,,True,,No,706,Yes
194,population-growth-rates,Population growth rate,https://ourworldindata.org/grapher/population-growth-rates?tab=map,Yes,2100,1950,,True,,No,151,Yes
197,child-mortality-by-income-level-of-country,Child mortality by income level of country,https://ourworldindata.org/grapher/child-mortality-by-income-level-of-country,No,2023,1932,,True,,No,92,Yes
205,us-healthcare-expenditure,US healthcare expenditure,https://ourworldindata.org/grapher/us-healthcare-expenditure,No,2013,1929,,True,,No,17,Yes
206,health-insurance-coverage-in-the-us,Health insurance coverage in the United States,https://ourworldindata.org/grapher/health-insurance-coverage-in-the-us,No,2014,1987,,True,,No,28,Yes
207,total-healthcare-expenditure-gdp,Total healthcare spending as a share of GDP,https://ourworldindata.org/grapher/total-healthcare-expenditure-gdp?tab=map,Yes,2022,2000,map,True,,No,23,Yes
209,share-of-public-expenditure-on-healthcare-by-country,Public spending on healthcare as percent of total healthcare spending,https://ourworldindata.org/grapher/share-of-public-expenditure-on-healthcare-by-country?tab=map,Yes,2023,2000,map,True,,No,24,Yes
210,share-of-out-of-pocket-expenditure-on-healthcare,Share of out-of-pocket spending on healthcare,https://ourworldindata.org/grapher/share-of-out-of-pocket-expenditure-on-healthcare?tab=map,Yes,2023,2000,map,True,,No,24,Yes
212,healthcare-expenditure-vs-gdp,Healthcare spending vs. GDP per capita,https://ourworldindata.org/grapher/healthcare-expenditure-vs-gdp,No,2024,0,,True,,No,256,Yes
213,life-expectancy-vs-healthcare-expenditure,Life expectancy vs. health spending,https://ourworldindata.org/grapher/life-expectancy-vs-healthcare-expenditure,No,2023,0,,True,,No,255,Yes
214,child-mortality-vs-health-expenditure,Child mortality vs. health spending,https://ourworldindata.org/grapher/child-mortality-vs-health-expenditure,No,2023,0,,True,,No,255,Yes
216,global-malaria-deaths-by-world-region,Malaria deaths by world region,https://ourworldindata.org/grapher/global-malaria-deaths-by-world-region,No,2020,2000,,True,region,No,21,Yes
225,gdp-per-capita-worldbank,GDP per capita,https://ourworldindata.org/grapher/gdp-per-capita-worldbank?tab=map,Yes,2024,1990,map,True,,No,35,Yes
226,children-born-per-woman,Total fertility rate: births per woman,https://ourworldindata.org/grapher/children-born-per-woman?tab=map,Yes,2023,1891,,True,,No,133,Yes
228,world-population-comparison-historical-sources,"World population, comparison of different historical sources",https://ourworldindata.org/grapher/world-population-comparison-historical-sources,No,2100,0,,True,source,No,329,Yes
230,children-per-woman-un,Fertility rate: births per woman,https://ourworldindata.org/grapher/children-per-woman-un?tab=map,Yes,2023,1950,map,True,,No,74,Yes
231,children-per-woman-vs-human-development-index,Fertility rate vs. Human Development Index,https://ourworldindata.org/grapher/children-per-woman-vs-human-development-index,No,2023,0,,True,,No,255,Yes
232,world-population-level-education,Population by level of education,https://ourworldindata.org/grapher/world-population-level-education,No,2100,1950,,True,,No,31,Yes
235,children-died-before-five-per-woman,Number of child deaths per woman,https://ourworldindata.org/grapher/children-died-before-five-per-woman?tab=map,Yes,2023,1800,,True,,No,224,Yes
236,world-population-in-extreme-poverty-absolute,World population living in extreme poverty,https://ourworldindata.org/grapher/world-population-in-extreme-poverty-absolute,No,2015,1820,,True,,No,25,Yes
241,labor-productivity-per-hour-pennworldtable,Productivity: output per hour worked,https://ourworldindata.org/grapher/labor-productivity-per-hour-pennworldtable?tab=map,Yes,2023,1950,map,True,,No,74,Yes
245,productivity-vs-annual-hours-worked,Annual working hours vs. productivity,https://ourworldindata.org/grapher/productivity-vs-annual-hours-worked,No,2023,0,,True,,No,255,Yes
246,work-hours-per-week,Weekly working hours,https://ourworldindata.org/grapher/work-hours-per-week,No,2000,1870,,True,,No,13,Yes
249,happiness-cantril-ladder,Self-reported life satisfaction,https://ourworldindata.org/grapher/happiness-cantril-ladder?tab=map,Yes,2024,2011,map,True,country,No,13,Yes
250,life-satisfaction-vs-child-mortality,Life satisfaction vs. child mortality,https://ourworldindata.org/grapher/life-satisfaction-vs-child-mortality,No,2024,0,,True,,No,256,Yes
251,gdp-vs-happiness,Self-reported life satisfaction vs. GDP per capita,https://ourworldindata.org/grapher/gdp-vs-happiness,No,2024,1990,,True,,No,35,Yes
254,median-age,Median age,https://ourworldindata.org/grapher/median-age?tab=map,Yes,2100,1950,,True,,No,151,Yes
257,median-and-mean-income-after-tax-lis,Median and mean income (after tax),https://ourworldindata.org/grapher/median-and-mean-income-after-tax-lis,No,2024,1963,,True,,No,62,Yes
259,physical-integrity-rights-score-fariss-kenwick-reuning,Physical integrity rights score,https://ourworldindata.org/grapher/physical-integrity-rights-score-fariss-kenwick-reuning?tab=map,Yes,2019,1946,map,True,,No,74,Yes
270,total-government-expenditure-on-education-gdp,Government spending on education as a share of GDP,https://ourworldindata.org/grapher/total-government-expenditure-on-education-gdp?tab=map,Yes,2024,1970,map,False,,No,55,Yes
271,share-of-education-in-government-expenditure,Education spending as share of total government spending,https://ourworldindata.org/grapher/share-of-education-in-government-expenditure?tab=map,Yes,2025,1980,map,False,,No,46,Yes
273,primary-edu-spending-vs-overall-edu-spending,Government spending on education overall vs. primary education,https://ourworldindata.org/grapher/primary-edu-spending-vs-overall-edu-spending,No,2024,1970,,True,,No,55,Yes
275,share-edu-spending-gdp-vs-share-edu-total-spending,Share of GDP spent on education vs. share of government spending assigned to education,https://ourworldindata.org/grapher/share-edu-spending-gdp-vs-share-edu-total-spending,No,2025,1970,,True,,No,56,Yes
277,average-oecd-education-expenditure-by-source-of-funding-gdp,Average OECD non-tertiary education spending by source of funding,https://ourworldindata.org/grapher/average-oecd-education-expenditure-by-source-of-funding-gdp,No,2012,2000,,True,,No,6,Yes
282,costs-of-66-different-technologies-over-time,The cost of 66 different technologies over time,https://ourworldindata.org/grapher/costs-of-66-different-technologies-over-time,No,2013,1929,,True,technology,No,85,Yes
287,public-health-insurance-coverage,Public health insurance coverage in Western Europe,https://ourworldindata.org/grapher/public-health-insurance-coverage?tab=map,Yes,1975,1910,,True,,No,3,Yes
288,percentage-of-persons-without-health-insurance-coverage-us,Percentage of people without health insurance in the United States,https://ourworldindata.org/grapher/percentage-of-persons-without-health-insurance-coverage-us,No,2015,1963,,True,,No,39,Yes
290,fertility-vs-child-mortality-family-planning-policy,Children per woman vs. child mortality in countries with and without strict family planning policy,https://ourworldindata.org/grapher/fertility-vs-child-mortality-family-planning-policy,No,2023,1950,,False,,No,74,Yes
291,birth-rate-the-number-of-births-per-1000-people-in-the-population,Birth rate,https://ourworldindata.org/grapher/birth-rate-the-number-of-births-per-1000-people-in-the-population?tab=map,Yes,2023,1751,map,False,,No,273,Yes
292,demographic-transition-sweden,The demographic transition in Sweden,https://ourworldindata.org/grapher/demographic-transition-sweden,No,2010,1749,,True,,No,262,Yes
293,interpersonal-trust-in-the-us,Interpersonal trust in the United States,https://ourworldindata.org/grapher/interpersonal-trust-in-the-us,No,2018,1972,,True,,No,28,Yes
294,human-rights-index-vs-gdp-per-capita,Human Rights Index vs. GDP per capita,https://ourworldindata.org/grapher/human-rights-index-vs-gdp-per-capita,No,2024,1946,,True,,No,790,Yes
295,self-reported-trust-attitudes,"Share of people agreeing with the statement ""most people can be trusted""",https://ourworldindata.org/grapher/self-reported-trust-attitudes?tab=map,Yes,2022,1984,map,True,,No,7,Yes
296,public-trust-in-government,Public trust in the United States government,https://ourworldindata.org/grapher/public-trust-in-government,No,2022,1958,,True,,No,50,Yes
297,human-development-index,Human Development Index,https://ourworldindata.org/grapher/human-development-index?tab=map,Yes,2023,1990,map,True,,No,34,Yes
298,children-woman-death-vs-survival,Children per woman that survived childhood vs. those that died in childhood,https://ourworldindata.org/grapher/children-woman-death-vs-survival,No,2023,1800,,True,,No,224,Yes
299,share-of-children-vaccinated-against-measles,Share of one-year-olds vaccinated against measles,https://ourworldindata.org/grapher/share-of-children-vaccinated-against-measles?tab=map,Yes,2024,1980,map,True,,No,45,Yes
300,literate-and-illiterate-world-population,Literate and illiterate world population,https://ourworldindata.org/grapher/literate-and-illiterate-world-population,No,2023,1475,,True,,No,93,Yes
304,interpersonal-trust-in-europe,Interpersonal trust in Europe,https://ourworldindata.org/grapher/interpersonal-trust-in-europe?tab=map,Yes,2013,2013,map,True,,Yes,1,Yes
305,oecd-average-trust-in-governments,"Trust in government, OECD average",https://ourworldindata.org/grapher/oecd-average-trust-in-governments,No,2022,2010,,True,,No,13,Yes
306,interpersonal-trust-vs-income-inequality,Interpersonal trust vs. income inequality,https://ourworldindata.org/grapher/interpersonal-trust-vs-income-inequality,No,2024,0,,True,,No,256,Yes
308,trust-in-others-vs-trust-in-police,"Trust in others vs. trust in police, Europe",https://ourworldindata.org/grapher/trust-in-others-vs-trust-in-police,No,2023,0,,True,,No,255,Yes
311,prevalence-of-undernourishment,Share of people who are undernourished,https://ourworldindata.org/grapher/prevalence-of-undernourishment?tab=map,Yes,2023,2000,,True,,No,24,Yes
317,primary-enrollment-selected-countries,Share of children in primary school age who are in school,https://ourworldindata.org/grapher/primary-enrollment-selected-countries?tab=map,Yes,2024,1820,,True,,No,73,Yes
318,primary-school-attendance-selected-countries,Net attendance rate of primary school,https://ourworldindata.org/grapher/primary-school-attendance-selected-countries?tab=map,Yes,2024,2000,map,True,,No,25,Yes
319,mean-years-of-schooling-long-run,Average years of schooling,https://ourworldindata.org/grapher/mean-years-of-schooling-long-run?tab=map,Yes,2020,1870,map,True,,No,35,Yes
320,gender-ratios-for-mean-years-of-schooling,"Average years of schooling, adjusted gender parity index",https://ourworldindata.org/grapher/gender-ratios-for-mean-years-of-schooling?tab=map,Yes,2023,1970,map,True,region,No,53,Yes
323,share-food-exports,Share of food products in total merchandise exports,https://ourworldindata.org/grapher/share-food-exports?tab=map,Yes,2024,1962,,True,,No,63,Yes
324,share-manufacture-exports,Share of manufactured products in total merchandise exports,https://ourworldindata.org/grapher/share-manufacture-exports?tab=map,Yes,2024,1962,,True,,No,63,Yes
325,real-transport-and-communication-costs,The decline of transport and communication costs relative to 1930,https://ourworldindata.org/grapher/real-transport-and-communication-costs,No,2005,1930,,True,,No,76,Yes
327,growth-of-global-trade,Growth of global trade,https://ourworldindata.org/grapher/growth-of-global-trade,No,2024,1800,,True,,No,214,Yes
328,data-deprivation-poverty-surveys-per-decade,Number of income/consumption surveys in the past decade available via the World Bank,https://ourworldindata.org/grapher/data-deprivation-poverty-surveys-per-decade?tab=map,Yes,2024,1963,map,True,,No,62,Yes
329,tax-revenue-national-income-longrun,Tax revenue,https://ourworldindata.org/grapher/tax-revenue-national-income-longrun,No,2008,1868,,True,country,No,121,Yes
330,government-revenues-national-income,Government revenues as a share of national income,https://ourworldindata.org/grapher/government-revenues-national-income,No,1992,1902,,True,,No,16,Yes
331,income-taxes-share-of-revenue-europe,Revenue from income taxes in Europe,https://ourworldindata.org/grapher/income-taxes-share-of-revenue-europe,No,2013,1856,,True,country,No,120,Yes
332,tax-revenues-by-source-gdp-la,Tax revenues by source,https://ourworldindata.org/grapher/tax-revenues-by-source-gdp-la,No,2013,1900,,True,country,No,114,Yes
333,tax-revenues-as-a-share-of-gdp-unu-wider,Tax revenues as a share of GDP,https://ourworldindata.org/grapher/tax-revenues-as-a-share-of-gdp-unu-wider?tab=map,Yes,2023,1980,map,True,,No,44,Yes
334,composition-of-tax-revenues-regional,Composition of tax revenues,https://ourworldindata.org/grapher/composition-of-tax-revenues-regional,No,1996,1986,,True,country group,No,2,Yes
335,taxes-on-income-vs-taxes-on-goods-and-services-old,Taxes on income vs. taxes on goods and services,https://ourworldindata.org/grapher/taxes-on-income-vs-taxes-on-goods-and-services-old,No,2100,0,,False,,No,332,Yes
336,taxes-on-incomes-of-individuals-and-corporations-gdp,Taxes on incomes of individuals and corporations,https://ourworldindata.org/grapher/taxes-on-incomes-of-individuals-and-corporations-gdp?tab=map,Yes,2022,1980,map,True,,No,43,Yes
337,maximum-marginal-tax-rates-on-individual-income,Top marginal income tax rates,https://ourworldindata.org/grapher/maximum-marginal-tax-rates-on-individual-income,No,2002,1979,,True,,No,3,Yes
338,top-income-tax-rates-piketty,Top marginal income tax rate,https://ourworldindata.org/grapher/top-income-tax-rates-piketty,No,2017,1900,,True,,No,118,Yes
339,taxes-on-goods-and-services-gdp,Taxes on goods and services,https://ourworldindata.org/grapher/taxes-on-goods-and-services-gdp?tab=map,Yes,2022,1980,map,True,,No,43,Yes
340,tax-revenues-vs-gdp-per-capita,Tax revenues as a share of GDP vs. GDP per capita,https://ourworldindata.org/grapher/tax-revenues-vs-gdp-per-capita,No,2024,0,,True,,No,256,Yes
341,reduction-in-income-inequality,Reduction in income inequality before and after tax,https://ourworldindata.org/grapher/reduction-in-income-inequality?tab=map,Yes,2023,1976,,True,,No,48,Yes
343,ti-corruption-perception-index,Corruption Perceptions Index,https://ourworldindata.org/grapher/ti-corruption-perception-index?tab=map,Yes,2024,2012,map,True,,No,13,Yes
351,unpaid-parking-violations-per-diplomat,Unpaid parking violations per diplomat in New York City by country of origin,https://ourworldindata.org/grapher/unpaid-parking-violations-per-diplomat?tab=map,Yes,2002,2002,map,True,,Yes,1,Yes
360,total-gov-expenditure-gdp-wdi,Central government spending as share of GDP,https://ourworldindata.org/grapher/total-gov-expenditure-gdp-wdi?tab=map,Yes,2024,1972,map,True,,No,53,Yes
361,total-gov-expenditure-percapita-oecd,Government spending per capita,https://ourworldindata.org/grapher/total-gov-expenditure-percapita-oecd?tab=map,Yes,2024,2007,,True,,No,18,Yes
362,share-social-protection-in-government-exp-oecd,Social protection spending as share of total government spending,https://ourworldindata.org/grapher/share-social-protection-in-government-exp-oecd?tab=map,Yes,2023,2007,,True,country,No,17,Yes
364,historical-gov-spending-gdp,Government spending as share of GDP,https://ourworldindata.org/grapher/historical-gov-spending-gdp?tab=map,Yes,2023,1800,map,True,,No,224,Yes
365,share-of-employee-compensation-in-public-spending,Employee compensation as share of government spending,https://ourworldindata.org/grapher/share-of-employee-compensation-in-public-spending?tab=map,Yes,2024,1972,map,True,,No,53,Yes
366,share-of-government-expenditure-going-to-interest-payments,Share of government spending going to interest payments,https://ourworldindata.org/grapher/share-of-government-expenditure-going-to-interest-payments?tab=map,Yes,2024,1972,map,True,,No,53,Yes
367,oecd-expenditures-on-government-outsourcing-gdp,Spending on government outsourcing as share of GDP,https://ourworldindata.org/grapher/oecd-expenditures-on-government-outsourcing-gdp?tab=map,Yes,2024,2009,,True,,No,16,Yes
368,government-procurement-share-gdp,Government procurement spending as share of GDP,https://ourworldindata.org/grapher/government-procurement-share-gdp?tab=map,Yes,2024,2007,,True,,No,18,Yes
369,gov-procurement-share-gov-expenditure,Government procurement spending as share of total government spending,https://ourworldindata.org/grapher/gov-procurement-share-gov-expenditure?tab=map,Yes,2024,2007,,True,,No,18,Yes
370,government-spending-vs-gdp-per-capita,Government spending as share of GDP vs. GDP per capita,https://ourworldindata.org/grapher/government-spending-vs-gdp-per-capita,No,2023,0,,True,,No,789,Yes
372,inequality-of-incomes-before-and-after-taxes-and-transfers,Income inequality: Gini coefficient before and after tax,https://ourworldindata.org/grapher/inequality-of-incomes-before-and-after-taxes-and-transfers,No,2023,1976,,True,,No,48,Yes
373,economic-inequality-gini-index,Income inequality: Gini coefficient,https://ourworldindata.org/grapher/economic-inequality-gini-index?tab=map,Yes,2024,1963,map,True,,No,62,Yes
374,gini-coefficient-vs-gdp-per-capita-pip,Income inequality vs. GDP per capita,https://ourworldindata.org/grapher/gini-coefficient-vs-gdp-per-capita-pip,No,2024,0,,True,,No,256,Yes
383,total-population-living-in-extreme-poverty-by-world-region,Total population living in extreme poverty by world region,https://ourworldindata.org/grapher/total-population-living-in-extreme-poverty-by-world-region,No,2025,1963,,True,,No,63,Yes
385,gini-coefficient-before-and-after-tax-lis,Income inequality: Gini coefficient before and after tax,https://ourworldindata.org/grapher/gini-coefficient-before-and-after-tax-lis,No,2024,1963,,True,,No,62,Yes
386,human-rights-index-vs-electoral-democracy-index,Human Rights Index vs. Electoral Democracy Index,https://ourworldindata.org/grapher/human-rights-index-vs-electoral-democracy-index,No,2024,1789,,True,,No,236,Yes
387,gdp-per-capita-vs-electoral-democracy-index,GDP per capita vs. Electoral Democracy Index,https://ourworldindata.org/grapher/gdp-per-capita-vs-electoral-democracy-index,No,2024,1,,True,,No,778,Yes
388,child-mortality-vs-electoral-democracy,Child mortality rate vs. electoral democracy,https://ourworldindata.org/grapher/child-mortality-vs-electoral-democracy,No,2024,1789,,True,,No,236,Yes
389,infant-mortality,Infant mortality rate,https://ourworldindata.org/grapher/infant-mortality?tab=map,Yes,2023,1932,map,True,,No,92,Yes
390,population-with-un-projections,Population,https://ourworldindata.org/grapher/population-with-un-projections?tab=map,Yes,2100,1950,,True,,No,151,Yes
392,share-of-population-living-with-less-than-international-and-lower-middle-income-poverty-lines,Share of population living with less than $3 and $4.20 per day,https://ourworldindata.org/grapher/share-of-population-living-with-less-than-international-and-lower-middle-income-poverty-lines,No,2025,1963,,True,,No,63,Yes
396,global-incidence-of-child-labour-by-age-groups,Global incidence of child labor by age groups,https://ourworldindata.org/grapher/global-incidence-of-child-labour-by-age-groups,No,2012,2000,,False,age group,No,4,Yes
397,global-child-mortality-timeseries,Global child mortality,https://ourworldindata.org/grapher/global-child-mortality-timeseries,No,2023,1800,,True,,No,224,Yes
398,share-of-the-world-population-with-at-least-basic-education,Share of the world's population with formal basic education,https://ourworldindata.org/grapher/share-of-the-world-population-with-at-least-basic-education,No,2020,1820,,True,,No,40,Yes
401,population-regions-with-projections,Population by world region,https://ourworldindata.org/grapher/population-regions-with-projections,No,2100,0,,True,region,No,332,Yes
403,number-of-countries-having-implemented-a-vat,Number of countries having implemented value added taxes,https://ourworldindata.org/grapher/number-of-countries-having-implemented-a-vat,No,2016,1960,,True,country,No,47,Yes
404,relative-weight-of-two-forms-of-consumption-taxation,Relative weight of two forms of consumption taxation in OECD countries,https://ourworldindata.org/grapher/relative-weight-of-two-forms-of-consumption-taxation,No,2014,1965,,False,country,No,48,Yes
406,rate-of-natural-population-increase-un,Rate of natural population increase,https://ourworldindata.org/grapher/rate-of-natural-population-increase-un?tab=map,Yes,2023,1950,,False,,No,74,Yes
407,child-mortality-vs-population-growth,Natural population growth rate vs. child mortality rate,https://ourworldindata.org/grapher/child-mortality-vs-population-growth,No,2023,0,,True,,No,255,Yes
408,continents-according-to-our-world-in-data,World regions according to Our World in Data,https://ourworldindata.org/grapher/continents-according-to-our-world-in-data?tab=map,Yes,2023,2023,map,True,,Yes,1,Yes
410,natural-population-growth,Natural population growth,https://ourworldindata.org/grapher/natural-population-growth?tab=map,Yes,2100,1950,,True,,No,151,Yes
413,share-multi-poverty,Share of population living in multidimensional poverty,https://ourworldindata.org/grapher/share-multi-poverty?tab=map,Yes,2023,2013,map,True,,No,11,No
415,global-child-deaths-by-cause,Global child deaths by cause,https://ourworldindata.org/grapher/global-child-deaths-by-cause,No,2021,1980,,True,cause,No,2,Yes
417,share-extreme-poverty-vs-share-mpi-poor,How does extreme monetary poverty compare to multidimensional poverty?,https://ourworldindata.org/grapher/share-extreme-poverty-vs-share-mpi-poor,No,2025,0,,True,,No,257,Yes
418,poverty-vs-life-expectancy,Share in poverty vs. life expectancy,https://ourworldindata.org/grapher/poverty-vs-life-expectancy,No,2025,0,,True,,No,257,Yes
419,poverty-vs-mean-schooling,Share in poverty vs. educational attainment,https://ourworldindata.org/grapher/poverty-vs-mean-schooling,No,2040,1980,,True,,No,260,Yes
421,child-deaths-igme-data,Number of child deaths by region,https://ourworldindata.org/grapher/child-deaths-igme-data,No,2023,1960,,True,,No,64,Yes
444,gdp-price-levels-relative-to-the-us,GDP price levels relative to the US,https://ourworldindata.org/grapher/gdp-price-levels-relative-to-the-us?tab=map,Yes,2024,1990,,True,,No,35,Yes
446,poverty-headcount-rate-vs-poverty-gap,Share in extreme poverty vs. poverty gap index,https://ourworldindata.org/grapher/poverty-headcount-rate-vs-poverty-gap,No,2025,0,,True,,No,257,Yes
448,total-shortfall-from-extreme-poverty,Total shortfall from extreme poverty,https://ourworldindata.org/grapher/total-shortfall-from-extreme-poverty?tab=map,Yes,2025,1963,map,True,,No,63,Yes
